"months","traffic_type","station_name","total_trips","average_duration_minutes","classic_trips","electric_trips","classic_members","electric_members","classic_casuals","electric_casuals"
"8","End","Navy Pier","12568","31.84","7936","4632","1273","855","6663","3777"
"8","Start","Navy Pier","12563","29.83","7957","4606","1472","940","6485","3666"
"6","End","Streeter Dr & Grand Ave","9270","31.42","6389","2881","990","483","5399","2398"
"6","Start","Streeter Dr & Grand Ave","9190","31.47","6381","2809","1185","560","5196","2249"
"9","End","Navy Pier","8635","30.47","5113","3522","1058","667","4055","2855"
"9","Start","Navy Pier","8609","30.04","5146","3463","1163","744","3983","2719"
"7","End","Streeter Dr & Grand Ave","7945","32.76","4942","3003","687","514","4255","2489"
"7","Start","Streeter Dr & Grand Ave","7832","32.14","4900","2932","850","520","4050","2412"
"10","End","Navy Pier","5793","30.60","3489","2304","539","407","2950","1897"
"10","Start","Navy Pier","5699","29.24","3444","2255","724","508","2720","1747"
"5","End","Streeter Dr & Grand Ave","4874","33.23","3332","1542","495","266","2837","1276"
"5","Start","Streeter Dr & Grand Ave","4724","31.47","3305","1419","667","305","2638","1114"
"4","End","Streeter Dr & Grand Ave","2865","29.96","1904","961","418","259","1486","702"
"4","Start","Streeter Dr & Grand Ave","2819","28.57","1894","925","524","255","1370","670"
"11","Start","Kingsbury St & Kinzie St","2545","8.99","1543","1002","1269","756","274","246"
"11","End","Kingsbury St & Kinzie St","2542","8.14","1509","1033","1277","815","232","218"
"3","Start","Kingsbury St & Kinzie St","2438","8.63","1169","1269","966","987","203","282"
"3","End","Kingsbury St & Kinzie St","2431","7.95","1146","1285","957","1039","189","246"
"12","End","Kingsbury St & Kinzie St","1687","7.38","898","789","804","635","94","154"
"12","Start","Kingsbury St & Kinzie St","1679","9.27","902","777","812","633","90","144"
"1","End","Kingsbury St & Kinzie St","1586","6.63","752","834","693","694","59","140"
"1","Start","Kingsbury St & Kinzie St","1561","7.34","770","791","705","674","65","117"
"2","End","Kingsbury St & Kinzie St","1555","7.20","718","837","657","700","61","137"
"2","Start","Kingsbury St & Kinzie St","1539","8.28","729","810","653","664","76","146"
